"Observation station","Year","Month","Day","Time [Local time]","Minimum temperature [°C]","Precipitation [mm]"
"Vihti Maasoja","2025","10","25","00:00","8.4","-"
"Vihti Maasoja","2025","10","25","01:00","8.8","-"
"Vihti Maasoja","2025","10","25","02:00","9.1","-"
"Vihti Maasoja","2025","10","25","03:00","9.2","-"
"Vihti Maasoja","2025","10","25","04:00","9.2","-"
"Vihti Maasoja","2025","10","25","05:00","9.5","-"
"Vihti Maasoja","2025","10","25","06:00","9.6","-"
"Vihti Maasoja","2025","10","25","07:00","9.8","-"
"Vihti Maasoja","2025","10","25","08:00","9.9","-"
"Vihti Maasoja","2025","10","25","09:00","10.2","-"
"Vihti Maasoja","2025","10","25","10:00","10.4","-"
"Vihti Maasoja","2025","10","25","11:00","10.6","-"
"Vihti Maasoja","2025","10","25","12:00","10.8","-"
"Vihti Maasoja","2025","10","25","13:00","10.9","-"
"Vihti Maasoja","2025","10","25","14:00","10.9","-"
"Vihti Maasoja","2025","10","25","15:00","10.8","-"
"Vihti Maasoja","2025","10","25","16:00","10.6","-"
"Vihti Maasoja","2025","10","25","17:00","10.4","-"
"Vihti Maasoja","2025","10","25","18:00","10.2","-"
"Vihti Maasoja","2025","10","25","19:00","10.1","-"
"Vihti Maasoja","2025","10","25","20:00","10.2","-"
"Vihti Maasoja","2025","10","25","21:00","10.3","-"
"Vihti Maasoja","2025","10","25","22:00","10.4","-"
"Vihti Maasoja","2025","10","25","23:00","10.4","-"

